航司,航司名称,产品名称,航线,订座舱位,上浮价格,前返计算方式,前返计算值,后返计算方式,后返计算值,定额代理费,运价标识,票证类型,出票OFFICE,备注,有效开始日期,有效截止日期,创建人,创建时间
3U,四川航空,3U免改易行,全国航线,T/H/G/L/E/R/K/N,150,固定值,55,,,,*/0KJM1,GP/BSP,KMG319/KMG279/CTU152,起飞四小时外免首次改期,,航班日期2026年3月29日-2026年10月24日,,
3U,四川航空,3U免改易行,全国航线,Q/M,150,固定值,45,,,,*/0KJM1,GP/BSP,KMG319/KMG279/CTU152,起飞四小时外免首次改期,,航班日期2026年3月29日-2026年10月24日,,
3U,四川航空,3U免改易行,全国航线,T/H/G/L/E/R/K/N,250,固定值,95,,,,*/0KJM2,GP/BSP,KMG319/KMG279/CTU152,起飞四小时外免首次改期,,航班日期2026年3月29日-2026年10月24日,,
3U,四川航空,3U免改易行,全国航线,Q/M,250,固定值,80,,,,*/0KJM2,GP/BSP,KMG319,起飞四小时外免首次改期,,航班日期2026年3月29日-2026年10月24日,,
3U,四川航空,3U出行管家产品,昆明进出港,N/K/R/V/E/L/S/G/H,150,,,固定值,120,,*/6JAH2,GP/BSP,KMGG319,接送机产品    同邦,,有效,,
3U,四川航空,3U出行管家产品,昆明进出港,N/K/R/V/E/L/S/G/H,280,,,固定值,240,,*/6JAH3,GP/BSP,KMGG319,同邦,,有效,,
3U,四川航空,3U出行管家产品,昆明进出港,N/K/R/V/E/L/S/G,350,,,固定值,300,,*/6JAH4,GP/BSP,KMGG319,同邦 产品权益：代理人提供车接送，川航昆明长水机场贵宾休息室服务权益。,,有效,,
3U,四川航空,3U出行管家产品,昆明进出港,N/K/R/V/E/L/S/G,500,,,固定值,400,,*/6JAH5,GP/BSP,KMGG319,同邦 产品权益：代理人提供车接送，川航昆明长水机场贵宾休息室服务,,有效,,
3U,四川航空,3U礼遇加享(机+X),川航国内航线,T/H/G/L/E/R/K,最低开放舱位公布运价+指定比例,,,百分比,50%,,*/0LJG1,GP/BSP,KMG319,最低开放舱位公布运价+指定比例:川航专属客户经理服务+服务商提供自有服务权益，溢价部分50%,,航班日期2026年3月29日-2026年10月24日,,
3U,四川航空,3U机+接送车,川航天府进出港国内航线,T/H/G/L/E/R/K/N,150,固定值,55,,,,*/0CJJF,GP/BSP,KMG319,赠送300元天府行接送车券,,航班日期2026年3月29日-2026年10月24日,,
